,Unnamed: 0,时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,湿度,室温,叶绿素,藻密度
1748,1748,2021-11-25 20:00:00,15.107,8.315,8.791,236.441,4.039,1.045,0.011,0.027,0.318,31.553,20.447,,
1749,1749,2021-11-25 16:00:00,15.15,8.287,8.614,236.605,4.042,1.048,0.01,0.023,0.327,29.917,20.681,,
1750,1750,2021-11-25 12:00:00,14.901,8.222,8.32,237.977,3.343,1.059,0.009,0.022,0.323,30.014,20.806,,
1751,1751,2021-11-25 08:00:00,14.812,8.207,8.266,238.392,3.276,1.08,0.009,0.028,0.323,30.2,21.2,,
1752,1752,2021-11-25 04:00:00,14.894,8.268,8.53,237.183,3.254,1.062,0.011,0.021,0.32,32.494,20.131,,
1753,1753,2021-11-25 00:00:00,15.018,8.306,8.699,237.192,3.73,1.041,0.01,0.023,0.319,31.697,20.667,,
1754,1754,2021-11-24 20:00:00,15.211,8.347,8.933,236.165,3.507,1.182,0.011,0.022,0.287,30.633,21.383,,
1755,1755,2021-11-24 16:00:00,15.299,8.327,8.78,235.806,3.867,1.059,0.01,0.02,0.309,28.557,22.335,,
1756,1756,2021-11-24 12:00:00,14.998,8.278,8.547,236.769,3.175,1.045,0.01,0.019,0.329,30.753,20.3,,
1757,1757,2021-11-24 08:00:00,14.918,8.269,8.512,237.154,3.574,1.094,0.009,0.018,0.304,28.914,22.2,,
1758,1758,2021-11-24 04:00:00,14.961,8.301,8.698,236.859,3.934,1.115,0.008,0.023,0.312,29.281,22.186,,
1759,1759,2021-11-24 00:00:00,15.085,8.303,8.634,237.459,3.229,1.066,0.01,0.02,0.321,32.103,20.6,,
1760,1760,2021-11-23 20:00:00,15.233,8.344,8.866,236.733,3.355,1.034,0.009,0.022,0.305,30.644,21.7,,
1761,1761,2021-11-23 16:00:00,15.264,8.336,8.788,235.947,4.539,1.034,0.01,0.023,0.317,30.959,21.178,,
1762,1762,2021-11-23 12:00:00,15.16,8.288,8.588,236.48,3.836,1.062,0.01,0.018,0.327,30.4,21.3,,
1763,1763,2021-11-23 08:00:00,15.023,8.256,8.408,237.135,3.183,0.981,0.009,0.019,0.309,30.697,21.319,,
1764,1764,2021-11-23 04:00:00,15.206,8.267,8.431,237.242,3.478,1.083,0.01,0.02,0.325,30.628,21.842,,
1765,1765,2021-11-23 00:00:00,15.356,8.262,8.361,238.507,4.22,1.147,0.008,0.026,0.302,31.083,22.378,,
1766,1766,2021-11-22 20:00:00,15.477,8.336,8.735,236.593,3.141,1.062,0.01,0.024,0.304,29.936,22.361,,
1767,1767,2021-11-22 16:00:00,15.484,8.347,8.822,236.089,4.313,1.052,0.01,0.023,0.323,31.047,21.6,,
1768,1768,2021-11-22 12:00:00,15.413,8.282,8.43,236.31,3.638,1.062,0.01,0.021,0.314,31.531,21.969,,
1769,1769,2021-11-22 08:00:00,15.256,8.265,8.279,236.609,3.672,1.013,0.01,0.02,0.309,33.1,21.711,,
1770,1770,2021-11-22 04:00:00,15.38,8.288,8.388,236.306,3.656,1.059,0.007,0.017,0.297,32.853,22.347,,
1771,1771,2021-11-22 00:00:00,15.497,8.312,8.457,236.103,4.209,1.041,0.01,0.021,0.3,33.608,22.235,,
1772,1772,2021-11-21 20:00:00,15.664,8.367,8.833,235.479,3.469,1.048,0.009,0.011,0.308,32.792,22.0,,
1773,1773,2021-11-21 16:00:00,15.792,8.371,8.879,234.797,4.317,1.009,0.009,0.028,0.311,30.247,22.7,,
1774,1774,2021-11-21 12:00:00,15.637,8.315,8.573,236.297,2.353,1.045,0.011,0.0,0.0,29.528,22.556,,
1775,1775,2021-11-21 08:00:00,15.487,8.277,8.328,237.112,3.329,1.03,0.01,0.019,0.318,32.762,21.289,,
1776,1776,2021-11-21 04:00:00,15.657,8.319,8.519,236.787,4.248,1.062,0.008,0.012,0.33,31.858,22.2,,
1777,1777,2021-11-21 00:00:00,15.772,8.35,8.666,235.602,4.103,1.076,0.009,0.018,0.323,31.8,22.2,,
1778,1778,2021-11-20 20:00:00,15.944,8.359,8.756,235.823,4.175,1.03,0.009,0.002,0.314,29.919,22.6,,
1779,1779,2021-11-20 16:00:00,15.897,8.382,8.839,235.492,3.815,1.027,0.008,0.036,0.304,28.4,22.7,,
1780,1780,2021-11-20 12:00:00,15.448,8.352,8.68,235.568,4.109,1.041,0.007,0.0,0.0,28.286,22.383,,
1781,1781,2021-11-20 08:00:00,15.264,8.324,8.573,236.12,3.978,1.023,0.009,0.024,0.319,28.97,21.8,,
1782,1782,2021-11-20 04:00:00,15.407,8.338,8.588,236.026,4.097,0.999,0.007,0.019,0.313,28.719,22.481,,
1783,1783,2021-11-20 00:00:00,15.659,8.355,8.602,235.778,3.726,1.006,0.01,0.025,0.339,30.1,21.9,,
1784,1784,2021-11-19 20:00:00,15.811,8.38,8.771,235.584,4.058,1.023,0.009,0.024,0.327,29.1,21.5,,
1785,1785,2021-11-19 16:00:00,15.914,8.365,8.658,235.175,4.278,1.009,0.009,0.023,0.317,26.7,22.8,,
1786,1786,2021-11-19 12:00:00,15.511,8.297,8.413,236.121,4.225,1.009,0.007,0.02,0.321,28.153,21.897,,
1787,1787,2021-11-19 08:00:00,15.386,8.259,8.261,236.718,3.889,1.214,0.009,0.025,0.359,28.422,21.892,,
1788,1788,2021-11-19 04:00:00,15.561,8.287,8.338,236.228,4.263,1.119,0.011,0.028,0.371,30.183,21.347,,
1789,1789,2021-11-19 00:00:00,15.796,8.347,8.656,235.638,4.248,0.946,0.008,0.024,0.364,29.203,22.1,,
1790,1790,2021-11-18 20:00:00,15.969,8.42,9.181,234.956,4.592,1.193,0.01,0.015,0.315,26.372,22.6,,
1791,1791,2021-11-18 16:00:00,16.084,8.409,9.022,234.506,5.11,1.232,0.008,0.0,0.0,25.575,23.225,,
1792,1792,2021-11-18 12:00:00,15.706,8.329,8.673,235.439,4.485,1.161,0.008,0.0,0.0,28.483,21.6,,
1793,1793,2021-11-18 08:00:00,15.567,8.282,8.443,236.163,4.01,1.197,0.009,0.0,0.0,28.125,20.867,,
1794,1794,2021-11-18 04:00:00,15.826,8.254,8.172,237.156,3.717,1.214,0.01,0.0,0.0,27.608,21.846,,
1795,1795,2021-11-18 00:00:00,16.077,8.334,8.518,236.923,3.558,1.186,0.008,0.0,0.0,27.683,22.0,,
1796,1796,2021-11-17 20:00:00,16.256,8.411,8.987,234.726,4.535,1.228,0.01,0.0,0.0,25.392,22.536,,
1797,1797,2021-11-17 16:00:00,16.185,8.402,8.886,234.06,4.161,1.165,0.009,0.0,0.0,23.7,22.717,,
1798,1798,2021-11-17 12:00:00,15.641,8.317,8.56,235.333,3.704,0.218,0.01,0.0,0.0,23.476,21.243,,
1799,1799,2021-11-17 04:00:00,15.697,8.344,8.681,235.231,3.863,0.053,0.008,0.0,0.0,26.689,22.4,,
1800,1800,2021-11-17 00:00:00,16.042,8.382,8.747,234.993,3.807,0.189,0.01,0.0,0.0,27.692,22.008,,
1801,1801,2021-11-16 20:00:00,16.266,8.432,9.025,234.294,4.017,0.251,0.01,0.0,0.0,25.697,22.222,,
1802,1802,2021-11-16 16:00:00,16.296,8.445,8.937,234.282,2.485,0.108,0.012,0.021,0.329,21.614,22.692,,
1803,1803,2021-11-16 12:00:00,16.002,8.386,8.644,235.061,4.124,1.102,0.007,0.021,0.329,28.5,22.567,,
1804,1804,2021-11-16 08:00:00,15.836,8.353,8.497,235.483,4.441,1.03,0.009,0.021,0.329,31.1,21.7,,
1805,1805,2021-11-16 04:00:00,16.094,8.338,8.225,236.414,3.756,1.118,0.0,0.021,0.329,31.992,21.9,,
1806,1806,2021-11-16 00:00:00,16.32,8.388,8.446,236.519,4.376,1.19,0.008,0.021,0.329,31.406,22.761,,
1807,1807,2021-11-15 20:00:00,16.45,8.448,8.767,234.749,4.517,1.106,0.007,0.021,0.329,32.539,22.2,,
1808,1808,2021-11-15 16:00:00,16.401,8.462,8.836,234.074,4.942,1.026,0.008,0.021,0.329,28.914,23.5,,
1809,1809,2021-11-15 12:00:00,16.073,8.397,8.504,235.051,4.417,1.064,0.007,0.021,0.329,31.736,22.178,,
1810,1810,2021-11-15 08:00:00,15.878,8.357,8.394,235.564,3.98,1.127,0.009,0.021,0.329,34.05,20.836,,
1811,1811,2021-11-15 04:00:00,16.013,8.386,8.61,234.906,5.327,1.068,0.908,0.021,0.329,32.567,21.956,,
1812,1812,2021-11-15 00:00:00,16.187,8.424,8.778,233.886,4.956,1.022,0.003,0.021,0.329,32.125,21.9,,
1813,1813,2021-11-13 08:00:00,15.998,8.422,8.401,234.881,5.375,0.988,0.007,0.021,0.329,30.106,22.139,,
1814,1814,2021-11-13 04:00:00,16.304,8.43,8.333,235.986,3.056,1.06,0.003,0.021,0.329,31.658,21.847,,
1815,1815,2021-11-12 20:00:00,16.53,8.536,8.895,234.126,4.212,1.022,1.644,0.021,0.329,30.555,22.468,,
1816,1816,2021-11-12 16:00:00,16.459,8.505,8.876,234.086,4.856,0.972,0.007,0.021,0.329,27.929,22.638,,
1817,1817,2021-11-12 08:00:00,16.278,8.402,8.208,236.328,3.758,0.968,0.006,0.021,0.329,30.586,21.889,,
1818,1818,2021-11-12 04:00:00,16.364,8.436,8.215,236.351,3.406,1.001,0.003,0.021,0.329,31.66,22.077,,
1819,1819,2021-11-12 00:00:00,16.571,8.482,8.418,235.755,3.44,0.968,0.004,0.021,0.329,32.217,21.9,,
1820,1820,2021-11-11 20:00:00,16.719,8.536,8.73,234.415,4.184,1.001,0.006,0.021,0.329,29.969,23.061,,
1821,1821,2021-11-11 16:00:00,16.42,8.503,8.61,234.256,3.987,0.8,0.001,0.021,0.329,28.933,22.488,,
1822,1822,2021-11-11 08:00:00,16.012,8.352,7.932,236.262,3.314,0.93,0.006,0.021,0.329,29.308,22.358,,
1823,1823,2021-11-11 04:00:00,16.251,8.408,8.276,235.32,4.043,1.022,0.006,0.021,0.329,31.316,21.765,,
1824,1824,2021-11-11 00:00:00,16.435,8.502,8.804,233.82,5.361,0.934,0.006,0.021,0.329,30.05,22.686,,
1825,1825,2021-11-10 20:00:00,16.604,8.575,8.947,233.028,4.761,0.901,0.001,0.021,0.329,28.47,21.989,,
1826,1826,2021-11-10 16:00:00,16.615,8.492,8.699,234.072,3.985,0.959,0.027,0.021,0.329,29.526,22.712,,
1827,1827,2021-11-10 08:00:00,16.323,8.39,8.255,235.358,3.6,0.896,0.0,0.017,0.328,32.075,21.261,,
1828,1828,2021-11-10 04:00:00,16.514,8.441,8.598,234.062,4.348,0.98,0.0,0.014,0.318,32.389,21.7,,
1829,1829,2021-11-10 00:00:00,16.781,8.508,8.879,232.763,4.021,0.94,0.0,0.016,0.341,30.947,22.722,,
1830,1830,2021-11-09 20:00:00,16.902,8.522,8.886,233.228,5.205,0.98,0.0,0.018,0.321,31.567,21.5,,
1831,1831,2021-11-09 16:00:00,16.906,8.53,8.782,233.529,4.251,1.013,0.0,0.015,0.345,27.706,22.803,,
1832,1832,2021-11-09 12:00:00,16.507,8.403,8.621,234.079,4.135,0.93,0.0,0.016,0.326,30.175,22.033,,
1833,1833,2021-11-09 08:00:00,16.368,8.332,8.363,234.778,3.507,0.935,0.0,0.015,0.324,32.819,20.872,,
1834,1834,2021-11-09 04:00:00,16.605,8.364,8.446,234.464,4.407,0.968,0.0,0.019,0.311,32.511,21.8,,
1835,1835,2021-11-09 00:00:00,16.812,8.364,8.501,234.774,4.353,0.87,0.0,0.016,0.317,32.989,22.011,,
1836,1836,2021-11-08 20:00:00,17.009,8.425,8.817,232.94,3.952,0.938,0.0,0.02,0.323,33.186,21.9,,
1837,1837,2021-11-08 16:00:00,16.968,8.442,8.759,233.595,4.019,0.901,0.0,0.015,0.327,34.514,22.1,,
1838,1838,2021-11-08 12:00:00,16.603,8.366,8.46,234.344,3.366,0.913,0.0,0.016,0.317,28.753,22.447,,
1839,1839,2021-11-08 08:00:00,16.393,8.326,8.317,234.718,3.051,0.972,0.0,0.023,0.333,30.631,21.369,,
1840,1840,2021-11-08 04:00:00,16.604,8.358,8.573,233.874,2.991,0.817,0.0,0.02,0.334,31.3,21.628,,
1841,1841,2021-11-08 00:00:00,16.836,8.418,8.983,232.827,3.875,1.018,0.0,0.019,0.339,31.8,21.267,,
1842,1842,2021-11-07 20:00:00,17.044,8.467,9.17,231.848,3.79,0.984,0.0,0.01,0.35,30.241,21.3,,
1843,1843,2021-11-07 16:00:00,17.075,8.426,8.94,232.575,4.123,1.051,0.0,0.014,0.314,27.873,21.973,,
1844,1844,2021-11-07 12:00:00,16.717,8.337,8.524,233.45,3.844,0.868,0.0,0.011,0.338,31.628,20.533,,
1845,1845,2021-11-07 08:00:00,16.69,8.305,8.31,234.139,4.167,1.043,0.0,0.0,0.0,30.031,21.817,,
1846,1846,2021-11-07 04:00:00,16.922,8.335,8.3,234.395,4.092,0.951,0.0,0.0,0.0,31.657,21.5,,
1847,1847,2021-11-07 00:00:00,17.155,8.402,8.606,233.972,4.052,0.965,0.0,0.0,0.0,30.581,22.561,,
1848,1848,2021-11-06 20:00:00,17.308,8.463,8.933,233.028,4.123,1.096,0.0,0.0,0.0,31.711,21.489,,
1849,1849,2021-11-06 16:00:00,17.301,8.461,9.05,232.444,4.007,0.911,0.0,0.018,0.323,28.608,22.561,,
1850,1850,2021-11-06 12:00:00,16.825,8.372,8.532,233.987,4.131,0.859,0.0,0.008,0.306,29.441,22.422,,
1851,1851,2021-11-06 08:00:00,16.705,8.307,8.228,234.977,3.232,0.974,0.0,0.014,0.308,32.114,20.722,,
1852,1852,2021-11-06 04:00:00,16.979,8.354,8.334,234.609,3.736,1.006,0.0,0.018,0.306,31.122,22.1,,
1853,1853,2021-11-06 00:00:00,17.256,8.389,8.503,234.009,3.965,1.006,0.0,0.01,0.284,31.681,22.019,,
1854,1854,2021-11-05 20:00:00,17.36,8.425,8.72,233.56,3.486,0.947,0.0,0.012,0.337,28.8,22.9,,
1855,1855,2021-11-05 16:00:00,17.328,8.45,8.824,233.24,4.262,0.896,0.0,0.014,0.323,27.77,22.3,,
1856,1856,2021-11-05 12:00:00,16.895,8.389,8.442,234.274,3.677,0.941,0.0,0.016,0.32,29.714,21.3,,
1857,1857,2021-11-05 08:00:00,16.667,8.314,8.073,235.513,3.515,0.941,0.0,0.016,0.326,31.725,21.003,,
1858,1858,2021-11-05 04:00:00,16.89,8.337,8.191,235.023,4.146,0.929,0.0,0.019,0.32,30.858,22.306,,
1859,1859,2021-11-05 00:00:00,17.099,8.384,8.425,234.46,4.136,0.88,0.0,0.017,0.294,31.8,21.897,,
1860,1860,2021-11-04 20:00:00,17.3,8.443,8.715,233.776,4.061,1.027,0.0,0.015,0.309,30.332,21.984,,
1861,1861,2021-11-04 16:00:00,17.33,8.474,9.033,232.899,4.447,0.94,0.0,0.019,0.332,26.6,22.4,,
1862,1862,2021-11-04 12:00:00,17.016,8.357,8.53,234.234,3.685,0.859,0.0,0.017,0.354,26.311,22.844,,
1863,1863,2021-11-04 08:00:00,17.042,8.228,7.803,235.745,3.674,0.99,0.0,0.021,0.322,30.592,21.224,,
1864,1864,2021-11-04 04:00:00,17.189,8.32,8.233,234.039,4.24,0.912,0.0,0.023,0.305,31.162,21.784,,
1865,1865,2021-11-04 00:00:00,17.39,8.369,8.415,234.038,3.992,0.832,0.0,0.018,0.292,33.216,21.357,,
1866,1866,2021-11-03 20:00:00,17.612,8.437,8.832,232.575,3.835,0.859,0.0,0.015,0.313,31.428,22.656,,
1867,1867,2021-11-03 16:00:00,17.625,8.479,9.186,231.418,3.919,0.91,0.0,0.017,0.31,30.553,21.8,,
1868,1868,2021-11-03 12:00:00,17.373,8.36,8.485,233.393,3.088,3.107,0.0,0.01,0.33,30.881,22.3,,
1869,1869,2021-11-03 08:00:00,17.322,8.338,8.071,234.929,3.899,0.947,0.0,0.016,0.338,33.725,21.4,,
1870,1870,2021-11-03 04:00:00,17.492,8.371,8.246,234.177,4.141,0.893,0.0,0.01,0.345,33.928,21.858,,
1871,1871,2021-11-03 00:00:00,17.696,8.42,8.663,233.273,4.223,1.028,0.0,0.014,0.308,35.572,21.3,,
1872,1872,2021-11-02 20:00:00,17.85,8.521,9.229,231.447,4.023,0.824,0.0,0.015,0.293,31.753,22.769,,
1873,1873,2021-11-02 16:00:00,17.729,8.543,9.241,231.254,3.556,0.982,0.0,0.009,0.33,32.8,21.6,,
1874,1874,2021-11-02 12:00:00,17.337,8.422,8.495,233.185,3.417,1.01,0.0,0.0,0.0,31.364,22.153,,
1875,1875,2021-11-02 08:00:00,17.103,8.36,8.291,233.939,3.194,0.941,0.0,0.01,0.315,32.614,21.508,,
1876,1876,2021-11-02 04:00:00,17.318,8.37,8.35,233.552,3.24,0.839,0.0,0.011,0.318,34.375,21.231,,
1877,1877,2021-11-02 00:00:00,17.488,8.426,8.557,233.296,3.907,0.861,0.0,0.022,0.31,34.869,21.4,,
1878,1878,2021-11-01 20:00:00,17.708,8.48,8.826,232.547,3.399,0.898,0.0,0.019,0.289,32.597,22.0,,
1879,1879,2021-11-01 16:00:00,17.747,8.477,8.781,232.489,4.053,1.029,0.0,0.016,0.332,33.994,21.167,,
1880,1880,2021-11-01 12:00:00,17.642,8.433,8.535,232.621,3.789,0.933,0.0,0.011,0.337,33.742,21.975,,
1881,1881,2021-11-01 08:00:00,17.423,8.333,8.062,234.1,3.113,0.866,0.0,0.011,0.314,37.344,20.6,,
1882,1882,2021-11-01 04:00:00,17.558,8.366,8.336,233.284,3.863,0.786,0.0,0.016,0.306,35.922,21.5,,
1883,1883,2021-11-01 00:00:00,17.727,8.407,8.515,232.88,4.189,0.796,0.0,0.013,0.294,35.725,21.822,,
1884,1884,2021-10-31 20:00:00,17.92,8.47,8.822,231.524,3.517,1.021,0.0,0.02,0.336,37.4,21.0,,
1885,1885,2021-10-31 16:00:00,17.898,8.464,8.665,232.013,3.554,0.988,0.0,0.015,0.343,35.944,21.2,,
1886,1886,2021-10-31 12:00:00,17.768,8.418,8.391,232.233,3.347,0.87,0.0,0.014,0.309,34.172,22.089,,
1887,1887,2021-10-31 08:00:00,17.692,8.355,8.147,232.866,3.45,1.003,0.0,0.008,0.322,34.872,21.742,,
1888,1888,2021-10-31 04:00:00,17.888,8.38,8.323,232.28,4.025,0.782,0.0,0.014,0.314,36.333,21.6,,
1889,1889,2021-10-31 00:00:00,18.091,8.435,8.671,231.672,3.96,0.93,0.0,0.013,0.313,34.428,22.572,,
1890,1890,2021-10-30 20:00:00,18.362,8.536,9.183,230.022,4.134,0.872,0.0,0.019,0.315,33.9,22.3,,
1891,1891,2021-10-30 16:00:00,18.394,8.551,9.29,230.842,4.158,0.949,0.0,0.014,0.28,32.392,22.8,,
1892,1892,2021-10-30 12:00:00,18.045,8.425,8.318,232.883,3.213,0.878,0.0,0.016,0.316,36.286,21.2,,
1893,1893,2021-10-30 08:00:00,17.936,8.364,8.045,234.5,3.752,0.88,0.0,0.018,0.3,35.389,22.211,,
1894,1894,2021-10-30 04:00:00,18.151,8.422,8.274,233.531,3.073,0.822,0.0,0.016,0.3,37.5,21.7,,
1895,1895,2021-10-30 00:00:00,18.384,8.464,8.631,231.688,3.35,0.829,0.0,0.01,0.288,36.15,22.458,,
1896,1896,2021-10-29 20:00:00,18.527,8.484,8.853,230.789,3.488,0.901,0.0,0.021,0.301,34.433,22.5,,
1897,1897,2021-10-29 16:00:00,18.432,8.437,8.445,231.921,2.288,1.01,0.0,0.019,0.336,32.565,22.6,,
1898,1898,2021-10-29 12:00:00,18.053,8.393,8.034,233.003,3.042,0.988,0.0,0.012,0.31,33.438,22.376,,
1899,1899,2021-10-29 08:00:00,17.946,8.335,7.877,233.316,2.878,0.903,0.0,0.01,0.3,36.019,21.6,,
1900,1900,2021-10-29 04:00:00,18.122,8.402,8.188,232.149,3.486,0.913,0.0,0.017,0.289,36.678,21.838,,
1901,1901,2021-10-29 00:00:00,18.39,8.475,8.624,231.389,3.787,1.095,0.0,0.025,0.416,35.878,22.456,,
1902,1902,2021-10-28 20:00:00,18.636,8.565,9.176,230.229,3.95,0.752,0.0,0.012,0.294,36.0,21.8,,
1903,1903,2021-10-28 16:00:00,18.682,8.56,9.13,230.815,4.078,0.97,0.0,0.012,0.294,33.203,22.3,,
1904,1904,2021-10-28 12:00:00,18.317,8.481,8.442,231.832,2.919,0.914,0.0,0.012,0.294,36.908,21.831,,
1905,1905,2021-10-28 08:00:00,18.208,8.388,8.1,233.072,3.544,0.873,0.0,0.012,0.294,37.583,21.4,,
1906,1906,2021-10-28 04:00:00,18.47,8.409,8.095,233.357,3.409,0.863,0.0,0.012,0.294,36.153,22.481,,
1907,1907,2021-10-28 00:00:00,18.695,8.507,8.558,232.168,3.307,0.898,0.0,0.012,0.294,37.478,21.9,,
1908,1908,2021-10-27 20:00:00,18.856,8.553,8.897,230.68,3.571,0.945,0.0,0.012,0.294,36.744,22.1,,
1909,1909,2021-10-27 16:00:00,18.705,8.516,8.973,230.142,3.658,0.953,0.0,0.012,0.294,33.2,22.5,,
1910,1910,2021-10-27 12:00:00,18.347,8.356,8.329,231.041,3.408,0.87,0.0,0.012,0.294,35.469,21.9,,
1911,1911,2021-10-27 08:00:00,18.221,8.346,8.278,231.477,3.007,0.9,0.0,0.012,0.294,37.2,21.9,,
1912,1912,2021-10-27 04:00:00,18.504,8.394,8.558,229.872,3.963,0.939,0.0,0.01,0.309,37.211,22.1,,
1913,1913,2021-10-27 00:00:00,18.64,8.443,8.903,229.448,3.595,0.859,0.0,0.011,0.287,33.469,22.5,,
1914,1914,2021-10-26 22:00:00,14.508,6.529,7.07,175.217,2.71,0.829,0.0,0.013,0.288,24.464,17.204,,
1915,1915,2021-10-26 16:00:00,2.058,0.92,0.981,,0.43,0.757,0.0,0.011,0.3,32.957,23.1,,
1916,1916,2021-10-26 12:00:00,18.523,8.428,8.402,231.862,3.241,0.919,0.0,0.015,0.289,40.756,21.6,,
1917,1917,2021-10-26 08:00:00,18.387,8.419,8.302,231.781,3.342,0.897,0.0,0.008,0.269,38.597,22.1,,
1918,1918,2021-10-26 04:00:00,18.6,8.441,8.355,231.298,3.13,0.935,0.0,0.012,0.299,40.464,21.8,,
1919,1919,2021-10-26 00:00:00,18.724,8.472,8.63,230.816,3.65,0.915,0.0,0.005,0.237,37.022,22.164,,
1920,1920,2021-10-25 20:00:00,19.037,8.542,9.083,229.073,3.885,1.012,0.0,0.007,0.27,42.331,22.936,,
1921,1921,2021-10-25 16:00:00,19.043,8.518,8.813,229.499,3.89,0.947,0.0,0.0,0.0,39.097,23.6,,
1922,1922,2021-10-25 12:00:00,18.696,8.413,8.094,232.467,3.363,0.896,0.0,0.0,0.0,43.7,22.0,,
1923,1923,2021-10-25 08:00:00,18.632,8.344,7.782,233.461,3.813,0.786,0.0,0.012,0.267,42.717,22.875,,
1924,1924,2021-10-25 04:00:00,18.739,8.447,8.639,230.183,3.712,0.88,0.0,0.014,0.275,44.489,22.5,,
1925,1925,2021-10-25 00:00:00,19.031,8.502,8.931,228.576,3.275,0.912,0.0,0.012,0.301,43.761,22.872,,
1926,1926,2021-10-24 20:00:00,19.245,8.511,8.838,230.111,2.634,1.027,0.0,0.018,0.294,41.581,22.9,,
1927,1927,2021-10-24 16:00:00,19.132,8.482,8.883,229.636,3.728,0.858,0.0,0.0,0.0,38.4,24.2,,
1928,1928,2021-10-24 12:00:00,18.754,8.372,7.958,232.746,3.526,0.869,0.0,0.015,0.27,44.033,22.2,,
1929,1929,2021-10-24 08:00:00,18.692,8.334,7.656,233.42,3.262,0.944,0.0,0.0,0.0,45.9,21.8,,
1930,1930,2021-10-24 04:00:00,18.951,8.385,7.917,232.848,3.673,0.862,0.0,0.01,0.307,45.253,22.525,,
1931,1931,2021-10-24 00:00:00,19.037,8.432,8.169,232.516,2.847,0.949,0.0,0.011,0.267,45.6,22.5,,
1932,1932,2021-10-23 20:00:00,19.161,8.49,8.499,231.554,3.606,0.928,0.0,0.012,0.294,44.45,22.7,,
1933,1933,2021-10-23 16:00:00,19.039,8.504,8.622,230.864,4.256,0.844,0.0,0.008,0.287,39.632,23.7,,
1934,1934,2021-10-23 12:00:00,18.651,8.434,8.081,232.093,3.018,0.845,0.0,0.01,0.28,43.164,21.7,,
1935,1935,2021-10-23 08:00:00,18.456,8.349,7.716,233.122,2.847,0.88,0.0,0.01,0.318,44.5,21.2,,
1936,1936,2021-10-23 04:00:00,18.515,8.362,7.841,232.678,3.249,0.954,0.0,0.01,0.291,43.883,21.678,,
1937,1937,2021-10-23 00:00:00,18.66,8.389,8.155,232.083,3.495,0.942,0.0,0.011,0.283,44.5,21.6,,
1938,1938,2021-10-22 20:00:00,18.722,8.468,8.446,231.224,2.991,0.896,0.0,0.008,0.308,44.436,21.6,,
1939,1939,2021-10-22 16:00:00,18.93,8.412,8.131,231.184,3.197,0.971,0.0,0.008,0.299,43.408,22.1,,
1940,1940,2021-10-22 12:00:00,18.759,8.334,7.693,231.798,2.641,1.018,0.0,0.006,0.292,42.961,22.3,,
1941,1941,2021-10-22 08:00:00,18.777,8.322,7.609,231.89,2.772,0.87,0.0,0.008,0.301,44.5,22.0,,
1942,1942,2021-10-22 04:00:00,19.033,8.34,7.806,231.128,2.887,0.955,0.0,0.009,0.277,46.2,22.4,,
1943,1943,2021-10-22 00:00:00,19.181,8.36,7.936,231.171,3.582,0.8,0.0,0.013,0.297,47.665,22.989,,
1944,1944,2021-10-21 20:00:00,19.358,8.392,8.024,231.248,3.359,0.868,0.0,0.011,0.266,48.6,23.3,,
1945,1945,2021-10-21 16:00:00,19.452,8.313,7.66,231.397,3.369,0.94,0.0,0.011,0.271,49.2,23.7,,
1946,1946,2021-10-21 12:00:00,19.474,8.297,7.458,232.346,3.135,1.016,0.0,0.008,0.277,48.081,23.9,,
1947,1947,2021-10-21 08:00:00,19.448,8.356,7.932,231.523,3.154,0.538,0.0,0.013,0.278,49.2,23.7,,
1948,1948,2021-10-21 04:00:00,19.583,8.392,8.462,228.653,3.616,0.935,0.0,0.012,0.279,48.6,24.0,,
1949,1949,2021-10-21 00:00:00,19.729,8.446,8.503,228.422,3.169,0.902,0.0,0.008,0.262,48.367,24.3,,
1950,1950,2021-10-20 20:00:00,19.847,8.488,8.436,230.231,3.807,0.845,0.0,0.006,0.279,47.6,24.317,,
1951,1951,2021-10-20 16:00:00,19.754,8.494,8.541,229.214,3.518,0.871,0.0,0.008,0.284,45.1,24.8,,
1952,1952,2021-10-20 12:00:00,19.445,8.386,8.047,230.342,3.431,0.819,0.0,0.007,0.271,46.8,23.9,,
1953,1953,2021-10-20 08:00:00,19.363,8.33,7.726,231.419,3.382,0.761,0.0,0.01,0.282,48.6,23.5,,
1954,1954,2021-10-20 04:00:00,19.529,8.386,7.927,231.111,3.153,0.856,0.0,0.012,0.237,48.5,24.036,,
1955,1955,2021-10-20 00:00:00,19.706,8.432,8.243,230.537,4.411,0.794,0.0,0.013,0.267,48.178,24.5,,
1956,1956,2021-10-19 20:00:00,19.901,8.485,8.488,229.81,5.839,1.016,0.0,0.016,0.202,46.7,24.7,,
1957,1957,2021-10-19 16:00:00,19.896,8.545,9.087,228.771,6.725,1.094,0.0,0.015,0.198,42.751,25.6,,
1958,1958,2021-10-19 12:00:00,19.404,8.442,7.937,231.496,3.106,0.914,0.0,0.01,0.279,47.322,23.7,,
1959,1959,2021-10-19 08:00:00,19.348,8.424,7.788,232.524,3.019,0.948,0.0,0.008,0.279,49.147,23.1,,
1960,1960,2021-10-19 04:00:00,19.437,8.425,8.132,231.493,3.24,0.899,0.0,0.009,0.262,48.9,23.4,,
1961,1961,2021-10-19 00:00:00,19.516,8.445,8.285,229.678,3.756,0.785,0.0,0.011,0.246,48.9,23.6,,
